,host_total_listings_count,room_type_1,room_type_2,room_type_3,room_type_4,room_type_-1,accommodates,bathrooms,bedrooms,bed_type_1,bed_type_2,bed_type_3,bed_type_4,price,guests_included,minimum_nights,maximum_nights,availability_365,number_of_reviews
8331,147.0,1,0,0,0,0,8,3.0,3.0,1,0,0,0,833,8,2,1125,359,0
5355,2.0,1,0,0,0,0,4,1.0,1.0,1,0,0,0,107,2,2,1125,293,95
8082,77.0,1,0,0,0,0,6,2.0,2.0,1,0,0,0,389,6,1,365,329,0
6737,4.0,0,0,0,1,0,2,1.0,1.0,1,0,0,0,67,2,2,21,0,54
5876,3.0,1,0,0,0,0,3,1.0,1.0,1,0,0,0,89,2,1,1125,86,143
3635,1.0,1,0,0,0,0,4,2.0,2.0,1,0,0,0,75,1,1,1125,0,4
3136,1.0,1,0,0,0,0,2,1.0,1.0,1,0,0,0,200,1,1,2,0,4
6298,3.0,1,0,0,0,0,8,2.0,2.0,1,0,0,0,89,1,1,1125,178,0
4473,1.0,0,0,0,1,0,2,1.0,1.0,1,0,0,0,149,1,1,2,365,0
2904,1.0,1,0,0,0,0,2,1.0,1.0,1,0,0,0,78,1,2,1125,77,210
5893,3.0,1,0,0,0,0,4,1.0,1.0,1,0,0,0,95,1,1,1125,59,11
3018,1.0,1,0,0,0,0,4,1.0,1.0,1,0,0,0,100,2,2,90,65,40
7444,13.0,1,0,0,0,0,16,1.0,1.0,0,0,1,0,14,1,2,14,364,13
3869,1.0,1,0,0,0,0,2,1.0,1.0,1,0,0,0,75,2,1,1125,65,18
2730,1.0,1,0,0,0,0,8,4.0,4.0,1,0,0,0,750,6,2,1125,356,22
1682,1.0,1,0,0,0,0,2,1.0,1.0,1,0,0,0,65,2,1,30,151,111
4948,2.0,0,0,0,1,0,2,1.0,1.0,1,0,0,0,200,1,3,1125,0,0
5424,2.0,1,0,0,0,0,6,2.0,3.0,1,0,0,0,700,1,2,5,202,0
4245,1.0,1,0,0,0,0,7,2.0,3.0,1,0,0,0,650,6,3,1125,0,4
3362,1.0,1,0,0,0,0,8,3.0,4.0,1,0,0,0,142,1,2,29,11,34
4189,1.0,1,0,0,0,0,8,2.0,3.0,1,0,0,0,625,1,3,31,172,22
7480,14.0,1,0,0,0,0,6,2.0,2.0,1,0,0,0,186,1,2,548,117,1
2095,1.0,1,0,0,0,0,4,1.0,1.0,1,0,0,0,110,1,1,1125,245,22
2198,1.0,1,0,0,0,0,4,1.0,2.0,1,0,0,0,125,1,2,30,0,8
534,1.0,0,0,0,1,0,1,1.0,1.0,1,0,0,0,24,1,1,1125,58,32
7866,41.0,1,0,0,0,0,4,1.0,2.0,1,0,0,0,158,4,2,365,171,1
5508,2.0,1,0,0,0,0,6,1.0,2.0,1,0,0,0,77,4,2,1125,0,66
6721,4.0,1,0,0,0,0,6,1.0,1.0,1,0,0,0,85,2,2,1125,308,46
1319,1.0,1,0,0,0,0,10,2.0,4.0,1,0,0,0,400,6,3,1125,315,40
8019,74.0,1,0,0,0,0,4,1.0,1.0,1,0,0,0,88,4,2,1125,12,60
5287,2.0,0,0,0,1,0,2,1.0,1.0,1,0,0,0,62,1,2,7,0,1
8233,144.0,1,0,0,0,0,6,2.0,2.0,1,0,0,0,122,4,2,1125,347,13
3630,1.0,1,0,0,0,0,2,1.0,0.0,1,0,0,0,115,1,2,6,3,6
6901,6.0,1,0,0,0,0,5,1.0,2.0,1,0,0,0,103,4,3,360,0,46
5840,3.0,1,0,0,0,0,5,2.0,2.0,1,0,0,0,119,2,1,365,281,100
2317,1.0,1,0,0,0,0,6,1.0,2.0,1,0,0,0,130,1,1,1125,202,37
6880,5.0,1,0,0,0,0,4,1.0,2.0,1,0,0,0,89,3,2,1125,37,32
3772,1.0,1,0,0,0,0,6,2.0,3.0,1,0,0,0,200,4,2,14,0,1
3995,1.0,1,0,0,0,0,8,4.0,5.0,1,0,0,0,1400,1,3,16,36,0
4884,2.0,0,0,0,1,0,2,1.0,1.0,1,0,0,0,65,2,2,35,20,3
8229,144.0,1,0,0,0,0,4,1.0,1.0,1,0,0,0,111,2,2,1125,334,15
309,1.0,1,0,0,0,0,3,1.0,1.0,1,0,0,0,189,1,1,1125,164,13
